Descrição do Item;Unid.;Cód.Grupo;GRUPO DE PRODUTOS;INSUMOS/PRODUTOS;FORNECEDOR/PRODUTOS
Arame galvanizado Fio 16;KG;13;ELÉTRICA, TELEFONE E LÓGICA;ARAME;
Arame galvanizado Fio 18;KG;13;ELÉTRICA, TELEFONE E LÓGICA;ARAME;
Arame galvanizado Fio 20;KG;13;ELÉTRICA, TELEFONE E LÓGICA;ARAME;
Arame recozido PG18;KG;25;FERRO E AÇO;ARAME;
Arame recozido PG7;KG;25;FERRO E AÇO;ARAME;
Arandela parede calha;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ARANDELA;
Arco de serra;UN;23;FERRAMENTA;BATEDOR;
Areia fina;M3;3;AGREGADO ;AREIA;
Areia grossa;M3;3;AGREGADO ;AREIA;
Areia media;M3;3;AGREGADO ;AREIA;
Argamassa cimento cola (cerâmica fachada);KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa cimento cola (cerâmica);KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa cimento cola (porcelanato);KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa colante exteriores;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa colante interiores;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa de chumbamento;KG;2.2;AGLOMERANTE;ARGAMASSA ;
Argamassa monocapa;KG;2.3;AGLOMERANTE;ARGAMASSA ;
Argamassa multiplo uso;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para assentamento alvenaria de vedacao e encunhamento;KG;2.4;AGLOMERANTE;ARGAMASSA ;
Argamassa para assentamento alvenaria estrutural;KG;2.4;AGLOMERANTE;ARGAMASSA ;
Argamassa para assentamento material ceramico externo;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para assentamento material ceramico interno;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para assentamento pedras naturais;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para chapisco;KG;2.4;AGLOMERANTE;ARGAMASSA ;
Argamassa para chapiscofix;KG;2.4;AGLOMERANTE;ARGAMASSA ;
Argamassa para contrapiso;KG;2.4;AGLOMERANTE;ARGAMASSA ;
Argamassa para emboco externo;KG;2.4;AGLOMERANTE;ARGAMASSA ;
Argamassa para emboco interno;KG;2.4;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento branca;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento cimenticio branca;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento cimenticio colorida;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento colorida;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento de fachada branca;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento de fachada colorida;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento de pedras branca;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento de pedras colorida;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento de piscina branca;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento de piscina colorida;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento de porcelanato branca;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para rejuntamento de porcelanato colorida;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassa para reparos de concreto;KG;2.5;AGLOMERANTE;ARGAMASSA ;
Argamassa pastifix;KG;2.1;AGLOMERANTE;ARGAMASSA ;
Argamassadeira, elétrica, potência 3 HP, capacidade 1,5 m³/h - aquisiç;UN;37.4;MÁQUINA E EQUIPAMENTO;ARGAMASSADEIRA;
Armação para press bow aluminio 4 roldana;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ARMAÇÃO;
Armação Rex Padrão 1 Pólo;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ARMAÇÃO;
Armario de aço tipo guarda roupas, com 8 portas grandes (198x123x42) c;UN;16;EQUIPAMENTO PARA ESCRITÓRIO;ARMÁRO;
Arruela (B) (diâmetro da seção: 3/4 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela (C) 1 inca;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ARRUELA;
Arruela (E) (diâmetro da seção: 1.1/2 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela de acabamento 1;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ARRUELA;
Arruela de acabamento 3;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ARRUELA;
Arruela de Acabamento de 2;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ARRUELA;
Arruela de Acabamento de eletroduto;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ARRUELA;
Arruela de Pressão 10 mm;UN;26;FIXAÇÃO ;ARRUELA;
Arruela de PVC flexível (diâmetro maior: 1/4 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela em zamak (diâmetro da seção: 1 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela em zamak (diâmetro da seção: 1 1/2 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela em zamak (diâmetro da seção: 1 1/4 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela em zamak (diâmetro da seção: 1/2 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela em zamak (diâmetro da seção: 2 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela em zamak (diâmetro da seção: 2 1/2 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela em zamak (diâmetro da seção: 3 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela em zamak (diâmetro da seção: 3/4 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela em zamak (diâmetro da seção: 4 );UN;26;FIXAÇÃO ;ARRUELA;
Arruela lisa 1/4;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ARRUELA;
Arruela lisa 1/8;UN;26;FIXAÇÃO ;ARRUELA;
Arruela Lisa 3/4;UN;26;FIXAÇÃO ;ARRUELA;
Arruela lisa 3/8 perfilex;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ARRUELA;
Arruela Lisa para Parafuso 10;UN;26;FIXAÇÃO ;ARRUELA;
Arruela Lisa para Parafuso 6;UN;26;FIXAÇÃO ;ARRUELA;
Arruela Lisa para Parafuso 8;UN;26;FIXAÇÃO ;ARRUELA;
Arruela Lisa zincada - 1/4;UN;26;FIXAÇÃO ;ARRUELA;
Arruela Lisa zincada - 3/8;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ARRUELA;
Arruela plástica para prego 18x27 (espessura: 3,00 mm / diâmetro maior;UN;26;FIXAÇÃO ;ARRUELA;
